target_tds_percent,target_pe_percent,brew_temp_c,ground_coffee_g,grind_setting,brew_length_s,water_on_s,water_off_s,water_on_off_cycles,water_l,measured_tds_mean_percent,measured_tds_2sd,measured_pe_mean_percent,measured_pe_2sd,batch_temp_mean_c,batch_temp_2sd,serving_temp_mean_c,serving_temp_2sd,first_sip_temp_mean_c,first_sip_temp_2sd,source_table
1.00,16,87,176.1,5,420,80,40,2,2.934,1.04,0.02,16.89,0.13,80.65,0.81,69.53,2.77,64.97,2.26,Cotter2021_SI Table S1
1.00,16,90,176.1,5,404,40,16,4,2.934,1.00,0.02,16.39,0.40,82.50,2.41,70.52,3.68,64.18,4.19,Cotter2021_SI Table S1
1.00,16,93,176.1,5,380,80,20,2,2.934,1.01,0.03,16.21,0.36,86.10,0.86,72.98,2.40,66.40,4.61,Cotter2021_SI Table S1
1.00,20,87,145,3,404,40,16,4,2.934,1.01,0.05,20.04,1.03,81.83,2.32,69.73,2.85,63.93,3.31,Cotter2021_SI Table S1
1.00,20,90,145,3,404,40,16,4,2.934,1.05,0.04,20.83,0.72,82.95,3.26,70.00,4.06,63.67,4.74,Cotter2021_SI Table S1
1.00,20,93,140.3,3,372,80,16,2,2.934,1.02,0.02,20.59,0.54,85.68,1.92,72.92,5.20,67.27,4.48,Cotter2021_SI Table S1
1.00,24,87,119,3,660,40,90,4,2.934,0.98,0.05,23.91,1.18,79.13,1.34,68.52,4.18,62.62,4.94,Cotter2021_SI Table S1
1.00,24,90,121.1,3,540,16,20,10,2.934,0.95,0.02,22.79,0.72,82.05,0.99,70.62,2.83,65.57,3.21,Cotter2021_SI Table S1
1.00,24,93,120,3,660,40,90,4,2.934,1.02,0.04,24.35,0.87,82.35,2.82,69.63,2.64,63.67,2.84,Cotter2021_SI Table S1
1.25,16,87,215.3,5,468,20,16,8,2.934,1.27,0.19,16.60,2.62,80.05,1.03,67.83,2.28,62.08,2.00,Cotter2021_SI Table S1
1.25,16,90,215.3,5,420,40,20,4,2.934,1.27,0.05,16.61,0.55,82.08,2.31,70.12,3.96,62.78,6.92,Cotter2021_SI Table S1
1.25,16,93,215.3,5,420,40,20,4,2.934,1.32,0.05,17.11,0.41,83.75,4.31,71.22,4.87,65.40,3.44,Cotter2021_SI Table S1
1.25,20,87,176.1,3,468,20,16,8,2.934,1.29,0.03,20.91,0.68,80.30,1.25,69.05,3.22,64.57,3.39,Cotter2021_SI Table S1
1.25,20,90,176.1,3,468,20,16,8,2.934,1.31,0.04,20.99,0.69,81.35,3.60,69.92,4.14,63.62,4.28,Cotter2021_SI Table S1
1.25,20,93,176.1,3,420,80,40,2,2.934,1.33,0.04,21.02,0.49,84.67,0.71,71.42,5.38,65.73,5.29,Cotter2021_SI Table S1
1.25,24,87,150,4,540,16,20,10,2.934,1.24,0.07,23.86,2.78,79.38,1.36,66.43,6.04,61.08,5.52,Cotter2021_SI Table S1
1.25,24,90,149,3,660,40,90,4,2.934,1.29,0.16,24.64,3.44,81.40,1.62,69.82,4.00,63.18,3.57,Cotter2021_SI Table S1
1.25,24,93,150,3,540,16,20,10,2.934,1.23,0.06,23.04,1.14,84.40,0.69,72.10,1.88,65.48,2.84,Cotter2021_SI Table S1
1.50,16,87,252.7,5,448,40,27,4,2.934,1.50,0.03,16.57,0.27,79.40,2.32,68.07,3.24,63.15,3.27,Cotter2021_SI Table S1
1.50,16,90,252.7,5,448,40,27,4,2.934,1.58,0.04,17.43,0.35,81.38,1.34,70.35,4.95,64.22,5.93,Cotter2021_SI Table S1
1.50,16,93,265,5,404,40,16,4,2.934,1.59,0.03,16.35,0.31,84.92,1.09,71.10,3.23,65.45,3.45,Cotter2021_SI Table S1
1.50,20,87,207.6,3,448,40,27,4,2.934,1.46,0.03,19.61,0.51,79.75,1.95,67.60,6.93,61.95,5.50,Cotter2021_SI Table S1
1.50,20,90,207.6,3,448,40,27,4,2.934,1.49,0.05,20.02,0.53,82.30,0.54,69.72,2.48,63.82,4.38,Cotter2021_SI Table S1
1.50,20,93,207.6,4,500,40,40,4,2.934,1.51,0.07,20.03,0.97,83.75,2.11,69.08,6.48,63.53,3.96,Cotter2021_SI Table S1
1.50,24,87,176.1,3,660,40,90,4,2.934,1.47,0.22,23.44,3.32,78.78,0.98,67.67,4.18,62.82,5.28,Cotter2021_SI Table S1
1.50,24,90,176.1,3,660,40,90,4,2.934,1.47,0.10,23.61,1.75,80.43,2.32,70.25,1.60,64.72,3.29,Cotter2021_SI Table S1
1.50,24,93,176.1,3,660,40,90,4,2.934,1.62,0.66,25.63,10.84,82.58,5.04,70.15,3.19,63.53,3.38,Cotter2021_SI Table S1
