tds_level,tds_percent,pe_level,pe_percent,bt_level,brew_temp_c,group,n_consumers,mean_liking_9pt,se,lower_cl,upper_cl,interaction,grouping_1_name,grouping_1,grouping_2_name,grouping_2,source_table
Low,1.00,Medium,20,all,all,all,118,6.15,0.11,5.94,6.36,TDS:PE,TDS/PE Groups,a,PE/TDS Groups,a,Cotter2021_SI Table S2
Medium,1.25,High,24,all,all,all,118,5.97,0.11,5.75,6.18,TDS:PE,TDS/PE Groups,a,PE/TDS Groups,a,Cotter2021_SI Table S2
Medium,1.25,Low,16,all,all,all,118,5.93,0.11,5.72,6.15,TDS:PE,TDS/PE Groups,a,PE/TDS Groups,a,Cotter2021_SI Table S2
High,1.50,High,24,all,all,all,118,5.86,0.11,5.65,6.08,TDS:PE,TDS/PE Groups,a,PE/TDS Groups,a,Cotter2021_SI Table S2
High,1.50,Medium,20,all,all,all,118,5.86,0.11,5.65,6.07,TDS:PE,TDS/PE Groups,b,PE/TDS Groups,a,Cotter2021_SI Table S2
Medium,1.25,Medium,20,all,all,all,118,5.82,0.11,5.60,6.03,TDS:PE,TDS/PE Groups,b,PE/TDS Groups,a,Cotter2021_SI Table S2
Low,1.00,High,24,all,all,all,118,5.79,0.11,5.58,6.01,TDS:PE,TDS/PE Groups,a,PE/TDS Groups,b,Cotter2021_SI Table S2
Low,1.00,Low,16,all,all,all,118,5.79,0.11,5.58,6.00,TDS:PE,TDS/PE Groups,a,PE/TDS Groups,b,Cotter2021_SI Table S2
High,1.50,Low,16,all,all,all,118,5.51,0.11,5.30,5.72,TDS:PE,TDS/PE Groups,b,PE/TDS Groups,b,Cotter2021_SI Table S2
Low,1.00,all,all,Medium,90,all,118,6.02,0.11,5.81,6.24,TDS:BT,TDS/BT Groups,a,BT/TDS Groups,a,Cotter2021_SI Table S2
Medium,1.25,all,all,Low,87,all,118,5.97,0.11,5.75,6.18,TDS:BT,TDS/BT Groups,a,BT/TDS Groups,a,Cotter2021_SI Table S2
High,1.50,all,all,Low,87,all,118,5.93,0.11,5.72,6.15,TDS:BT,TDS/BT Groups,a,BT/TDS Groups,a,Cotter2021_SI Table S2
Medium,1.25,all,all,Medium,90,all,118,5.90,0.11,5.68,6.11,TDS:BT,TDS/BT Groups,a,BT/TDS Groups,a,Cotter2021_SI Table S2
Low,1.00,all,all,Low,87,all,118,5.86,0.11,5.65,6.08,TDS:BT,TDS/BT Groups,a,BT/TDS Groups,a,Cotter2021_SI Table S2
Medium,1.25,all,all,High,93,all,118,5.85,0.11,5.64,6.06,TDS:BT,TDS/BT Groups,a,BT/TDS Groups,a,Cotter2021_SI Table S2
Low,1.00,all,all,High,93,all,118,5.84,0.11,5.63,6.05,TDS:BT,TDS/BT Groups,a,BT/TDS Groups,a,Cotter2021_SI Table S2
High,1.50,all,all,High,93,all,118,5.83,0.11,5.61,6.04,TDS:BT,TDS/BT Groups,a,BT/TDS Groups,a,Cotter2021_SI Table S2
High,1.50,all,all,Medium,90,all,118,5.47,0.11,5.26,5.68,TDS:BT,TDS/BT Groups,b,BT/TDS Groups,b,Cotter2021_SI Table S2
all,all,Medium,20,Low,87,all,118,6.05,0.10,5.84,6.25,PE:BT,PE/BT Groups,a,BT/PE Groups,a,Cotter2021_SI Table S2
all,all,High,24,High,93,all,118,6.04,0.11,5.84,6.25,PE:BT,PE/BT Groups,a,BT/PE Groups,a,Cotter2021_SI Table S2
all,all,Medium,20,Medium,90,all,118,5.97,0.11,5.76,6.18,PE:BT,PE/BT Groups,a,BT/PE Groups,ab,Cotter2021_SI Table S2
all,all,Low,16,Low,87,all,118,5.88,0.10,5.68,6.09,PE:BT,PE/BT Groups,a,BT/PE Groups,a,Cotter2021_SI Table S2
all,all,High,24,Low,87,all,118,5.84,0.11,5.63,6.04,PE:BT,PE/BT Groups,a,BT/PE Groups,ab,Cotter2021_SI Table S2
all,all,Medium,20,High,93,all,118,5.80,0.11,5.60,6.01,PE:BT,PE/BT Groups,b,BT/PE Groups,b,Cotter2021_SI Table S2
all,all,High,24,Medium,90,all,118,5.74,0.11,5.54,5.95,PE:BT,PE/BT Groups,ab,BT/PE Groups,b,Cotter2021_SI Table S2
