model,formula,term,sum_sq,mean_sq,num_df,den_df,f_value,p_value,source_table
whole sample mixed model,Liking~(TDS+PE+BT)^2+(1|Judge)+(1|Judge:Week)+(1|Judge:TDS),TDS,12.9853,6.49265,2,236.933257,2.812528,0.06206,Cotter2021_SI Table S2
whole sample mixed model,Liking~(TDS+PE+BT)^2+(1|Judge)+(1|Judge:Week)+(1|Judge:TDS),PE,21.30746,10.65373,2,2711.20364,4.615052,0.00998,Cotter2021_SI Table S2
whole sample mixed model,Liking~(TDS+PE+BT)^2+(1|Judge)+(1|Judge:Week)+(1|Judge:TDS),BT,8.415795,4.207897,2,2633.21095,1.822804,0.161776,Cotter2021_SI Table S2
whole sample mixed model,Liking~(TDS+PE+BT)^2+(1|Judge)+(1|Judge:Week)+(1|Judge:TDS),TDS:PE,40.73485,10.18371,4,2439.07076,4.411446,0.001484,Cotter2021_SI Table S2
whole sample mixed model,Liking~(TDS+PE+BT)^2+(1|Judge)+(1|Judge:Week)+(1|Judge:TDS),TDS:BT,37.53402,9.383504,4,2535.3539,4.064807,0.002745,Cotter2021_SI Table S2
whole sample mixed model,Liking~(TDS+PE+BT)^2+(1|Judge)+(1|Judge:Week)+(1|Judge:TDS),PE:BT,27.04689,6.761722,4,2494.70523,2.929086,0.019781,Cotter2021_SI Table S2
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,TDS,17.507219,8.7536095,2,,3.05171275,0.0474185,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,PE,21.706842,10.853421,2,,3.78375614,0.0228411,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,BT,7.8085374,3.9042687,2,,1.36111925,0.2565253,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,Cluster,69.693906,69.693906,1,,24.2969234,8.69E-07,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,TDS:PE,44.238544,11.059636,4,,3.8556474,0.0039577,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,TDS:BT,49.492781,12.373195,4,,4.31358486,0.0017576,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,TDS:Cluster,144.52434,72.262172,2,,25.192281,1.40E-11,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,PE:BT,33.157564,8.2893911,4,,2.88987535,0.0211036,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,PE:Cluster,17.301796,8.6508981,2,,3.01590515,0.0491438,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,BT:Cluster,3.5097947,1.7548974,2,,0.61179821,0.5424395,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,TDS:PE:BT,35.671061,4.4588826,8,,1.55447062,0.1333041,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,TDS:PE:Cluster,48.098052,12.024513,4,,4.19202611,0.0021821,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,TDS:BT:Cluster,34.096311,8.5240777,4,,2.97169257,0.0183599,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,PE:BT:Cluster,80.138483,20.034621,4,,6.98453671,1.35E-05,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,TDS:PE:BT:Cluster,43.924708,5.4905884,8,,1.91414738,0.0537372,Cotter2021_SI Table S3
by-cluster fixed model,Liking~(TDS+PE+BT+Cluster)^4,Residuals,8983.9075,2.8684251,3132,,,,Cotter2021_SI Table S3
