attribute,attribute_key,factor,df,f_ratio,significant_p_lt_0_05,source_table
Astringency,astringency,Coffee,26,2.12,yes,Frost2020_SI Supplemental A
Bitterness,bitterness,Coffee,26,10.42,yes,Frost2020_SI Supplemental A
Black Pepper Aroma,black_pepper_aroma,Coffee,26,1.78,yes,Frost2020_SI Supplemental A
Black Tea Flavor,black_tea_flavor,Coffee,26,1.03,no,Frost2020_SI Supplemental A
Blueberry Flavor,blueberry_flavor,Coffee,26,2.07,yes,Frost2020_SI Supplemental A
Brothy Flavor,brothy_flavor,Coffee,26,0.82,no,Frost2020_SI Supplemental A
Brown Spice Aroma,brown_spice_aroma,Coffee,26,1.04,no,Frost2020_SI Supplemental A
Brown Spice Flavor,brown_spice_flavor,Coffee,26,1.98,yes,Frost2020_SI Supplemental A
Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,Coffee,26,7.5,yes,Frost2020_SI Supplemental A
Cereal Malt Flavor,cereal_malt_flavor,Coffee,26,1.14,no,Frost2020_SI Supplemental A
Citrus Flavor,citrus_flavor,Coffee,26,5.28,yes,Frost2020_SI Supplemental A
Astringency,astringency,Judge,11,62.66,yes,Frost2020_SI Supplemental A
Bitterness,bitterness,Judge,11,66.01,yes,Frost2020_SI Supplemental A
Black Pepper Aroma,black_pepper_aroma,Judge,11,22.09,yes,Frost2020_SI Supplemental A
Black Tea Flavor,black_tea_flavor,Judge,11,89.04,yes,Frost2020_SI Supplemental A
Blueberry Flavor,blueberry_flavor,Judge,11,56.87,yes,Frost2020_SI Supplemental A
Brothy Flavor,brothy_flavor,Judge,11,37.21,yes,Frost2020_SI Supplemental A
Brown Spice Aroma,brown_spice_aroma,Judge,11,39.48,yes,Frost2020_SI Supplemental A
Brown Spice Flavor,brown_spice_flavor,Judge,11,104.58,yes,Frost2020_SI Supplemental A
Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,Judge,11,129.36,yes,Frost2020_SI Supplemental A
Cereal Malt Flavor,cereal_malt_flavor,Judge,11,198.45,yes,Frost2020_SI Supplemental A
Citrus Flavor,citrus_flavor,Judge,11,23.99,yes,Frost2020_SI Supplemental A
Astringency,astringency,Judge × Coffee,286,0.97,no,Frost2020_SI Supplemental A
Bitterness,bitterness,Judge × Coffee,286,1.36,yes,Frost2020_SI Supplemental A
Black Pepper Aroma,black_pepper_aroma,Judge × Coffee,286,1.05,no,Frost2020_SI Supplemental A
Black Tea Flavor,black_tea_flavor,Judge × Coffee,286,1.15,no,Frost2020_SI Supplemental A
Blueberry Flavor,blueberry_flavor,Judge × Coffee,286,1.13,no,Frost2020_SI Supplemental A
Brothy Flavor,brothy_flavor,Judge × Coffee,286,1.02,no,Frost2020_SI Supplemental A
Brown Spice Aroma,brown_spice_aroma,Judge × Coffee,286,1.04,no,Frost2020_SI Supplemental A
Brown Spice Flavor,brown_spice_flavor,Judge × Coffee,286,1.23,yes,Frost2020_SI Supplemental A
Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,Judge × Coffee,286,1.49,yes,Frost2020_SI Supplemental A
Cereal Malt Flavor,cereal_malt_flavor,Judge × Coffee,286,1.06,no,Frost2020_SI Supplemental A
Citrus Flavor,citrus_flavor,Judge × Coffee,286,1.11,no,Frost2020_SI Supplemental A
Astringency,astringency,Judge × Rep,22,2.92,yes,Frost2020_SI Supplemental A
Bitterness,bitterness,Judge × Rep,22,3.63,yes,Frost2020_SI Supplemental A
Black Pepper Aroma,black_pepper_aroma,Judge × Rep,22,1.36,no,Frost2020_SI Supplemental A
Black Tea Flavor,black_tea_flavor,Judge × Rep,22,2.41,yes,Frost2020_SI Supplemental A
Blueberry Flavor,blueberry_flavor,Judge × Rep,22,1.83,yes,Frost2020_SI Supplemental A
Brothy Flavor,brothy_flavor,Judge × Rep,22,1.55,no,Frost2020_SI Supplemental A
Brown Spice Aroma,brown_spice_aroma,Judge × Rep,22,2.45,yes,Frost2020_SI Supplemental A
Brown Spice Flavor,brown_spice_flavor,Judge × Rep,22,1.26,no,Frost2020_SI Supplemental A
Burnt Wood/Ash Flavor,burnt_wood_ash_flavor,Judge × Rep,22,3.00,yes,Frost2020_SI Supplemental A
Cereal Malt Flavor,cereal_malt_flavor,Judge × Rep,22,1.61,yes,Frost2020_SI Supplemental A
Citrus Flavor,citrus_flavor,Judge × Rep,22,4.29,yes,Frost2020_SI Supplemental A
