coffee_code,roast,target_tds_percent,target_pe_percent,duty_cycle_percent,n_cycles,brew_ratio_g_water_per_g_coffee,grind_setting,source_table
D-1.5-16,Dark,1.50,16,100,1,12.3,4,Frost2020 Table 1
D-1.25-16,Dark,1.25,16,100,1,14.4,4,Frost2020 Table 1
D-1.5-20,Dark,1.50,20,50,4,15.0,4,Frost2020 Table 1
D-1.0-16,Dark,1.00,16,100,1,17.6,4,Frost2020 Table 1
D-1.25-20,Dark,1.25,20,50,2,17.6,4,Frost2020 Table 1
D-1.5-24,Dark,1.50,24,20,8,17.6,4,Frost2020 Table 1
D-1.25-24,Dark,1.25,24,20,8,20.8,4,Frost2020 Table 1
D-1.0-20,Dark,1.00,20,50,4,21.6,4,Frost2020 Table 1
D-1.0-24,Dark,1.00,24,20,8,25.5,4,Frost2020 Table 1
L-1.5-16,Light,1.50,16,83,2,12.2,5,Frost2020 Table 1
L-1.25-16,Light,1.25,16,83,2,14.3,5,Frost2020 Table 1
L-1.5-20,Light,1.50,20,50,4,14.8,4,Frost2020 Table 1
L-1.0-16,Light,1.00,16,83,2,17.5,5,Frost2020 Table 1
L-1.25-20,Light,1.25,20,50,4,17.5,4,Frost2020 Table 1
L-1.5-24,Light,1.50,24,20,8,17.5,3,Frost2020 Table 1
L-1.25-24,Light,1.25,24,20,8,20.6,3,Frost2020 Table 1
L-1.0-20,Light,1.00,20,50,2,21.4,4,Frost2020 Table 1
L-1.0-24,Light,1.00,24,20,8,25.4,3,Frost2020 Table 1
M-1.5-16,Medium,1.50,16,83,2,12.2,5,Frost2020 Table 1
M-1.25-16,Medium,1.25,16,83,2,14.3,5,Frost2020 Table 1
M-1.5-20,Medium,1.50,20,50,4,14.8,4,Frost2020 Table 1
M-1.0-16,Medium,1.00,16,83,2,17.5,5,Frost2020 Table 1
M-1.25-20,Medium,1.25,20,50,4,17.5,4,Frost2020 Table 1
M-1.5-24,Medium,1.50,24,20,8,17.5,3,Frost2020 Table 1
M-1.25-24,Medium,1.25,24,20,8,20.6,3,Frost2020 Table 1
M-1.0-20,Medium,1.00,20,50,4,21.4,4,Frost2020 Table 1
M-1.0-24,Medium,1.00,24,20,8,25.4,3,Frost2020 Table 1
