roast,tds_percent,pe_percent,attribute,attribute_key,mean_intensity,n_or_se_if_given,lsd_group,fisher_lsd_main_effect,varied_factor,significant_interaction,source_table
Light,all,all,Astringency,astringency,44.8,,b,2.49,roast,,Frost2020_SI Supplemental B
Medium,all,all,Astringency,astringency,47.5,,a,2.49,roast,,Frost2020_SI Supplemental B
Dark,all,all,Astringency,astringency,48.1,,a,2.49,roast,,Frost2020_SI Supplemental B
all,1.00,all,Astringency,astringency,43.5,,b,2.49,tds,,Frost2020_SI Supplemental B
all,1.25,all,Astringency,astringency,47.2,,a,2.49,tds,,Frost2020_SI Supplemental B
all,1.50,all,Astringency,astringency,49.6,,a,2.49,tds,,Frost2020_SI Supplemental B
all,all,16,Astringency,astringency,45.9,,,2.49,pe,,Frost2020_SI Supplemental B
all,all,20,Astringency,astringency,47.7,,,2.49,pe,,Frost2020_SI Supplemental B
all,all,24,Astringency,astringency,46.7,,,2.49,pe,,Frost2020_SI Supplemental B
Light,all,all,Bitterness,bitterness,32.4,,c,2.09,roast,,Frost2020_SI Supplemental B
Medium,all,all,Bitterness,bitterness,37.8,,,2.09,roast,,Frost2020_SI Supplemental B
Dark,all,all,Bitterness,bitterness,44.6,,a,2.09,roast,,Frost2020_SI Supplemental B
all,1.00,all,Bitterness,bitterness,32.4,,c,2.09,tds,,Frost2020_SI Supplemental B
all,1.25,all,Bitterness,bitterness,38.5,,b,2.09,tds,,Frost2020_SI Supplemental B
all,1.50,all,Bitterness,bitterness,44.0,,a,2.09,tds,,Frost2020_SI Supplemental B
all,all,16,Bitterness,bitterness,35.1,,b,2.09,pe,,Frost2020_SI Supplemental B
all,all,20,Bitterness,bitterness,39.7,,a,2.09,pe,,Frost2020_SI Supplemental B
all,all,24,Bitterness,bitterness,40.1,,a,2.09,pe,,Frost2020_SI Supplemental B
Light,all,all,Black Pepper Aroma,black_pepper_aroma,14.3,,,,roast,roast_x_tds;roast_x_pe,Frost2020_SI Supplemental B
Medium,all,all,Black Pepper Aroma,black_pepper_aroma,13.9,,,,roast,roast_x_tds;roast_x_pe,Frost2020_SI Supplemental B
Dark,all,all,Black Pepper Aroma,black_pepper_aroma,16.3,,,,roast,roast_x_tds;roast_x_pe,Frost2020_SI Supplemental B
