band,band_name,roast,relative_residual_at_median,relative_residual_at_p10_alk,relative_residual_at_p90_alk,relative_residual_at_lower_edge,relative_residual_at_upper_edge,relative_residual_param_low,relative_residual_param_high,label_at_median,label_at_upper_edge
1,very low alkalinity (0 to 40),light,1.0162448655416567,1.040856579472972,1.0082914080825784,1.0609811444739652,1.0,0.9880767024757346,1.0176186666082936,works,works
1,very low alkalinity (0 to 40),medium,1.0177057662658253,1.0445308115794834,1.0090370543940947,1.0664651786689048,1.0,0.9890888561077777,1.0193636001687432,works,works
1,very low alkalinity (0 to 40),dark,1.0202955933900728,1.0510443451911802,1.0103589067354024,1.0761870579680193,1.0,0.9910640556588604,1.02159557735867,works,works
2,low alkalinity (40 to 80),light,0.9624731418621753,0.988072645960802,0.952827585189603,1.0,0.9374552364369588,0.9592995583317312,0.9923800071167428,works,works
2,low alkalinity (40 to 80),medium,0.9590983515883664,0.9870000190370151,0.9485853700244131,1.0,0.9318305859806105,0.9552686308971519,0.9898982330201836,works,works
2,low alkalinity (40 to 80),dark,0.9531156566350651,0.9850985083761845,0.9410649384715053,1.0,0.9218594277251085,0.9501125961390645,0.9850550956483236,works,works
3,moderate alkalinity (80 to 150),light,0.8930945887440105,0.929823830169497,0.8454276793080789,0.9374552364369588,0.8280019002016364,0.884053777194285,0.9338606727815423,works,works
3,moderate alkalinity (80 to 150),medium,0.8834805853334609,0.9235128873634849,0.8315269908316998,0.9318305859806105,0.812534111446679,0.8725705895116371,0.9266091899256621,works,works
3,moderate alkalinity (80 to 150),dark,0.8664372596691378,0.9123250971268229,0.8068843991303841,0.9218594277251085,0.7851134262440483,0.8578822291314767,0.9124580519677762,works,works
4,high alkalinity (150 to 250),light,0.7294938975898466,0.8131180891057458,0.7274826953520058,0.8280019002016364,0.6716399912940334,0.7066176496412292,0.841620717003614,compensate (flatter),compensate (flatter)
4,high alkalinity (150 to 250),medium,0.7051672843661405,0.7963117992500794,0.7029752147152594,0.812534111446679,0.6421105763982052,0.6775613810503038,0.8233087215131563,compensate (flatter),compensate (flatter)
4,high alkalinity (150 to 250),dark,0.6620420249110942,0.7665182721430656,0.6595293206514162,0.7851134262440483,0.5897619955568196,0.6403949638357562,0.7875731927089307,compensate (flatter),compensate (flatter)
5,very high alkalinity (over 250),light,0.6247314186217525,0.661182506039463,0.5090236060301262,0.6716399912940334,,0.5929955833173122,0.8473395122270264,compensate (flatter),n/a
5,very high alkalinity (over 250),medium,0.5909835158836632,0.6307126495165739,0.46487009994779266,0.6421105763982052,,0.5526863089715198,0.8222094743706002,compensate (flatter),n/a
5,very high alkalinity (over 250),dark,0.531156566350651,0.5766968908894284,0.38659650764210174,0.5897619955568196,,0.5011259613906446,0.7731686589041722,compensate (flatter),n/a
