regime,regime_name,roast,relative_residual_central,relative_residual_param_low,relative_residual_param_high,relative_residual_at_regime_p10_alk,relative_residual_at_regime_p90_alk,label,label_stable_across_params
1,"very low alkalinity, soft",light,1.0480031060346342,0.999324322838726,1.0520626483006605,1.060113335879528,0.5707865600486294,works,True
1,"very low alkalinity, soft",medium,1.0523200252598814,1.0024563539820763,1.0572188763107264,1.0655193280493858,0.5321873962919397,works,True
1,"very low alkalinity, soft",dark,1.0599728892209792,1.0085684562484432,1.0638143041054469,1.075102857527705,0.4637603227635571,works,True
2,"low alkalinity, soft",light,1.0175926553109256,0.9892996113242313,1.0190804367006299,1.0400861625379987,1.00963379262004,works,True
2,"low alkalinity, soft",medium,1.0191747627662242,0.9904047757796344,1.0209701423796789,1.0436911110511597,1.0105001595702015,works,True
2,"low alkalinity, soft",dark,1.021979460397912,0.9925614842743495,1.0233873002972704,1.0500818214440337,1.0120360206933838,works,True
3,"low alkalinity, hard",light,0.9796729518420116,0.9779539274296878,1.0476308104314185,1.0156361908907603,0.9796729518420116,works,True
3,"low alkalinity, hard",medium,0.9778449404436984,0.975770508402624,1.046497918693297,1.0170423535048474,0.9778449404436984,works,True
3,"low alkalinity, hard",dark,0.9746043140106602,0.9729776562419932,1.0442871009066277,1.0195351430687227,0.9746043140106602,works,True
4,"moderate alkalinity, moderately hard",light,0.9600989943956671,0.9567246331909802,0.9948899165440214,0.9828001900201636,0.8796013301411456,works,True
4,"moderate alkalinity, moderately hard",medium,0.9565106970451632,0.9524386879736351,0.9922633528359205,0.9812534111446678,0.8687738780126754,works,True
4,"moderate alkalinity, moderately hard",dark,0.9501495051760237,0.946956455194568,0.9871376611495127,0.9785113426244048,0.8495793983708338,works,True
5,"moderate alkalinity, soft",light,0.9193868236106967,0.9125695023208014,0.9204041506393199,0.9970148242625966,0.7443482789360689,works,True
5,"moderate alkalinity, soft",medium,0.9121372808266912,0.9039104810112426,0.914814691665767,0.9967463674147786,0.7213575201957455,works,True
5,"moderate alkalinity, soft",dark,0.8992855776070242,0.8928345647195947,0.9039069633270654,0.9962704577142305,0.680600410826381,works,True
6,"very high alkalinity, very hard",light,0.7294938975898466,0.7066176496412292,0.841620717003614,0.8577106628940812,0.7294938975898466,compensate (flatter),False
6,"very high alkalinity, very hard",medium,0.7051672843661405,0.6775613810503038,0.8233087215131563,0.8449145831058889,0.7051672843661405,compensate (flatter),False
6,"very high alkalinity, very hard",dark,0.6620420249110942,0.6403949638357562,0.7875731927089307,0.8222301980746217,0.6620420249110942,compensate (flatter),False
